year,world-music,electronic,rock,metal,j-pop,kids,honky-tonk,indie,soundtracks,reggae
2000,49,19,29,28,11,1,4,1,0,3
2001,55,30,4,29,3,42,0,9,6,4
2002,36,28,33,13,51,2,0,14,0,4
2003,29,23,67,34,24,3,5,1,1,17
2004,38,21,6,26,10,22,10,1,1,4
2005,58,23,13,51,8,2,3,4,0,10
2006,41,23,12,48,13,3,5,13,7,4
2007,40,14,43,31,15,1,15,9,1,31
2008,54,17,11,43,22,37,0,3,2,0
2009,126,34,33,28,18,11,4,7,3,6
2010,28,46,6,30,50,5,24,2,10,9
2011,62,31,28,52,23,15,3,0,1,7
2012,148,40,34,24,64,28,5,4,5,3
2013,82,93,33,77,51,23,12,18,8,21
2014,124,71,17,28,32,50,3,10,13,3
2015,80,69,16,54,31,49,5,17,29,6
2016,187,47,27,64,108,33,2,28,16,34
2017,128,116,15,47,90,159,0,72,60,7
2018,119,162,49,63,62,144,6,53,21,26
2019,97,163,102,73,67,116,94,66,53,22
2020,198,170,53,57,69,104,156,49,60,14
2021,215,148,92,96,95,105,12,47,182,46
2022,320,343,170,258,168,43,13,110,84,134
2023,731,491,193,426,80,157,220,74,25,152
